STORE NUMBER,UPC,SKU #,Name,Manufacturer,SEGMENT,PTS of Distro,% of Distro,Yes/No
,85016200865,,10 BARREL PUB LAGER 18/12C,ANHEUSER-BUSCH INBEV,ECONOMY,,, 
,63598580173,,2 HOOTS HALF & HALF 1/24C,MARK ANTHONY BRANDS INC,FMB,,, 
,63598580171,,2 HOOTS HARD ICED TEA ORIGINAL 1/24C,MARK ANTHONY BRANDS INC,FMB,,, 
,85961200143,,21ST AMENDMENT BREW FREE OR DIE BLOOD ORANGE IPA 1/19.2C,21ST AMENDMENT BREWERY,CRAFT,,, 
,85961200131,,21ST AMENDMENT BREW FREE OR DIE BLOOD ORANGE IPA 6/12C,21ST AMENDMENT BREWERY,CRAFT,,, 
,85961200102,,21ST AMENDMENT SEASONAL 6/12C,21ST AMENDMENT BREWERY,CRAFT,,, 
,8954053529,,ABSOLUT GRAPEFRUIT PALOMA SPARKLING 4/12C,PERNOD RICARD,RTD,,, 
,79844900824,,ACE PINEAPPLE CRAFT CIDER 6/11-12C,CALIFORNIA CIDER COMPANY,CIDER,,, 
,79844901006,,ACE SPACE BLOODY ORANGE CIDER 1/19.2C,CALIFORNIA CIDER COMPANY,CIDER,,, 
,79844900903,,ACE TROPICAL VARIETY PACK CIDER 12/12C,CALIFORNIA CIDER COMPANY,CIDER,,, 
,8769200083,,ANGRY ORCHARD CRISP APPLE 12/12C,BOSTON BEER CO,CIDER,,,1
,8769201362,,ANGRY ORCHARD HARD CORE 6/11-12C,BOSTON BEER CO,CIDER,,, 
,8769201173,,ANGRY ORCHARD PEACH MANGO HARD FRUIT CIDER 6/11-12C,BOSTON BEER CO,CIDER,,, 
,8769200821,,ANGRY ORCHARD VARIETY PACK 12/12C,BOSTON BEER CO,CIDER,,,1
,88734134008,,APEROL SPRITZ READY-TO-SERVE 3/200ML BOTTLE,CAMPARI GROUP,RTD,,, 
,3876636120,,ASAHI SUPER DRY DRAFT 6/12B,ASAHI BEER U.S.A. INC,IMPORT,,, 
,85535200849,,ATHLETIC FREE WAVE HAZY IPA NA 6/12C,ATHLETIC BREWING COMPANY,NON-ALC,,, 
,85535200805,,ATHLETIC RUN WILD IPA NA 6/12C,ATHLETIC BREWING COMPANY,NON-ALC,,, 
